fname,mname,lname,birth,death,nationality
Jiří,,Rychnovský,1529,1616,Czech
William,,Byrd,1540,1623,English
Claudio,Giovanni Antonio,Monteverdi,1567,1643,Italian
Giovanni,,Valentini,1582,1649,Italian
Heinrich,,Schütz,1585,1672,German
Jacob,,van Eyck,1590,1657,Dutch
Giacomo,,Carissimi,1605,1674,Italian
Dieterich,,Buxtehude,1637,1707,Danish-German
Juan,García,de Salazar,1639,1710,Spanish
Johann,Friedrich,Alberti,1642,1710,German
Georg,Christoph,Bach,1642,1697,German
Johann,Christoph,Bach,1642,1703,German
Tomás,,de Torrejón y Velasco,1644,1728,Spanish
Johann,Michael,Bach,1648,1694,German
Johann,,Pachelbel,1653,1706,German
Jean-Baptiste,,Moreau,1656,1733,French
Johann,Joseph,Fux,1660,1741,German
Johann,,Kuhnau,1660,1722,German
Alessandro,,Scarlatti,1660,1725,Italian
Élisabeth,Jacquet,de La Guerre,1665,1729,French
Francesco,,Scarlatti,1666,1741,Italian
François,,Couperin,1668,1733,French
Johann,Nicolaus,Bach,1669,1753,German
Antonio,,Caldara,1670,1736,Italian
Tomaso,Giovanni,Albinoni,1671,1751,Italian
Johann,Christoph,Bach,1671,1721,German
Jeremiah,,Clarke,1674,1707,English
Johann,Bernhard,Bach,1676,1749,German
Johann,Ludwig,Bach,1677,1731,German
Antonio,,Vivaldi,1678,1741,Italian
Pietro,Filippo,Scarlatti,1679,1750,Italian
Jean-Joseph,,Mouret,1682,1738,French
Jean-Philippe,,Rameau,1683,1764,French
François,,d'Agincourt,1684,1758,French
Bohuslav,Matěj,Černohorský,1684,1742,Czech
Giuseppe,Matteo,Alberti,1685,1751,Italian
Johann,Sebastian,Bach,1685,1750,German
George,Frideric,Handel,1685,1759,German
Wilhelm,Hieronymus,Pachelbel,1685,1764,German
Domenico,,Scarlatti,1685,1757,Italian
Charles,Theodore,Pachelbel,1690,1750,German
Louis-Claude,,Daquin,1694,1772,French
Johan,Helmich,Roman,1694,1758,Sweedish
Johann,Lorenz,Bach,1695,1773,German
František,,Jiránek,1698,1778,Czech
Johann,Adolph,Hasse,1699,1783,German
Johann,Bernhard,Bach,1700,1743,German
František,,Tůma,1704,1774,Czech
Václav,Jan,Kopřiva,1708,1789,Bohemian
Domenico,,Alberti,1710,1740,Italian
Wilhelm,Friedemann,Bach,1710,1784,German
Élisabeth,,de Haulteterre,1737,1768,French
Jean-Jacques,,Rousseau,1712,1778,French
Carl,Philipp Emanuel,Bach,1714,1788,German
Leopold,,Mozart,1719,1787,German