("comp_fname","comp_mname","comp_lname","comp_birthyear","comp_deathyear","comp_nationality"),
("Jiří","","Rychnovský",1529,1616,"Czech"),
("William","","Byrd",1540,1623,"English"),
("Claudio","Giovanni Antonio","Monteverdi",1567,1643,"Italian"),
("Giovanni","","Valentini",1582,1649,"Italian"),
("Heinrich","","Schütz",1585,1672,"German"),
("Jacob","","van Eyck",1590,1657,"Dutch"),
("Giacomo","","Carissimi",1605,1674,"Italian"),
("Dieterich","","Buxtehude",1637,1707,"Danish-German"),
("Juan","García","de Salazar",1639,1710,"Spanish"),
("Johann","Christoph","Bach",1642,1703,"German"),
("Georg","Christoph","Bach",1642,1697,"German"),
("Johann","Friedrich","Alberti",1642,1710,"German"),
("Tomás","","de Torrejón y Velasco",1644,1728,"Spanish"),
("Johann","Michael","Bach",1648,1694,"German"),
("Johann","","Pachelbel",1653,1706,"German"),
("Jean-Baptiste","","Moreau",1656,1733,"French"),
("Alessandro","","Scarlatti",1660,1725,"Italian"),
("Johann","Joseph","Fux",1660,1741,"German"),
("Johann","","Kuhnau",1660,1722,"German"),
("Élisabeth","Jacquet","de La Guerre",1665,1729,"French"),
("Francesco","","Scarlatti",1666,1741,"Italian"),
("François","","Couperin",1668,1733,"French"),
("Johann","Nicolaus","Bach",1669,1753,"German"),
("Antonio","","Caldara",1670,1736,"Italian"),
("Johann","Christoph","Bach",1671,1721,"German"),
("Tomaso","Giovanni","Albinoni",1671,1751,"Italian"),
("Jeremiah","","Clarke",1674,1707,"English"),
("Johann","Bernhard","Bach",1676,1749,"German"),
("Johann","Ludwig","Bach",1677,1731,"German"),
("Antonio","","Vivaldi",1678,1741,"Italian"),
("Pietro","Filippo","Scarlatti",1679,1750,"Italian"),
("Georg","Philipp","Telemann",1681,1767,"German"),
("Jean-Joseph","","Mouret",1682,1738,"French"),
("Christoph","","Graupner",1683,1760,"German"),
("Jean-Philippe","","Rameau",1683,1764,"French"),
("François","","d'Agincourt",1684,1758,"French"),
("Bohuslav","Matěj","Černohorský",1684,1742,"Czech"),
("Johann","Sebastian","Bach",1685,1750,"German"),
("George","Frideric","Handel",1685,1759,"German"),
("Wilhelm","Hieronymus","Pachelbel",1685,1764,"German"),
("Domenico","","Scarlatti",1685,1757,"Italian"),
("Giuseppe","Matteo","Alberti",1685,1751,"Italian"),
("Nicola","","Porpora",1686,1768,"Italian"),
("Francesco","","Geminiani",1687,1762,"Italian"),
("Charles","Theodore","Pachelbel",1690,1750,"German"),
("Louis-Claude","","Daquin",1694,1772,"French"),
("Johan","Helmich","Roman",1694,1758,"Sweedish"),
("Johann","Lorenz","Bach",1695,1773,"German"),
("Jean-Marie","","Leclair",1697,1764,"French"),
("František","","Jiránek",1698,1778,"Czech"),
("Johann","Adolph","Hasse",1699,1783,"German"),
("Johann","Bernhard","Bach",1700,1743,"German"),
("Giovanni","Battista","Sammartini",1700,1775,"Italian"),
("František","","Tůma",1704,1774,"Czech"),
("Václav","Jan","Kopřiva",1708,1789,"Bohemian"),
("Franz","Xaver","Richter",1709,1789,"Austro-Moravian"),
("Wilhelm","Friedemann","Bach",1710,1784,"German"),
("Domenico","","Alberti",1710,1740,"Italian"),
("William","","Boyce",1711,1779,"English"),
("Jean-Jacques","","Rousseau",1712,1778,"French"),
("Carl","Philipp Emanuel","Bach",1714,1788,"German"),
("Christoph","Willibald","Gluck",1714,1787,"Bohemian"),
("Leopold","","Mozart",1719,1787,"German"),
("Armand-Louis","","Couperin",1727,1789,"French"),
("Niccolò","","Piccinni",1728,1800,"Italian"),
("František","Xaver","Pokorný",1729,1794,"Czech"),
("Antonio","","Soler",1729,1783,"Spanish"),
("František","Xaver","Dušek",1731,1799,"Czech"),
("Johann","Christoph Friedrich","Bach",1732,1795,"German"),
("František","Xaver","Brixi",1732,1771,"Czech"),
("Thomas","","Erskine",1732,1781,"Scottish"),
("Joseph","","Haydn",1732,1809,"Austrian"),
("Johann","Christian","Bach",1735,1782,"German"),
("Michael","","Haydn",1737,1806,"Austrian"),
("Josef","","Mysliveček",1737,1781,"Czech"),
("Élisabeth","","de Haulteterre",1737,1768,"French"),
("Giovanni","","Paisiello",1740,1816,"Italian"),
("Carl","","Stamitz",1745,1801,"German-Czech"),
("Leopold","","Kozeluch",1747,1818,"Czech"),
("Domenico","","Cimarosa",1749,1801,"Italian"),
("Marija","","Zubova",1749,1799,"Russion"),
("Antonio","","Rosetti",1750,1792,"Italian"),
("Antonio","","Salieri",1750,1825,"Italian"),
("Maria","Anna","Mozart",1751,1829,"Austrian"),
("Jan","Křtitel","Kuchař",1751,1829,"Czech"),
("Muzio","","Clementi",1752,1832,"English"),
("Josef","","Reicha",1752,1795,"Czech"),
("Franz","Anton","Hoffmeister",1754,1812,"German"),
("Wolfgang","Amadeus","Mozart",1756,1791,"Austrian"),
("Ignaz","","Pleyel",1757,1831,"French"),
("Wilhelm","Friedrich Ernst","Bach",1759,1845,"German"),
("Franz","","Krommer",1759,1831,"Czech"),
("Luigi","","Cherubini",1760,1842,"Italian"),
("Johann","Ladislaus","Dussek",1760,1812,"Czech"),
("Friedrich","Heinrich","Himmel",1765,1814,"German"),
("Franz","Xaver","Süssmayr",1766,1803,"Austrian"),
("Anton","","Reicha",1770,1836,"Czech-French"),
("Ludwig","","van Beethoven",1770,1827,"German"),
("Édouard","","Du Puy",1770,1822,"Swiss"),
("Jan","August","Vitásek",1770,1839,"Bohemian"),
("Johann","Baptist","Cramer",1771,1858,"English"),
("Václav","","Tomášek",1774,1850,"Czech"),
("Gaspare","","Spontini",1774,1851,"Italian"),
("Johann","Nepomuk","Hummel",1778,1837,"Austrian"),
("Fernando","","Sor",1778,1839,"Spanish"),
("Anton","","Diabelli",1781,1858,"Austrian"),
("Mauro","","Giuliani",1781,1829,"Italian"),
("John","","Field",1782,1837,"Irish"),
("Niccolò","","Paganini",1782,1840,"Italian"),
("Daniel","","Auber",1782,1871,"French"),
("Ferdinand","","Ries",1784,1838,"German"),
("Louis","","Spohr",1784,1859,"German"),
("George","","Onslow",1784,1853,"Anglo-French"),
("Catherina","","Cibbini-Kozeluch",1785,1858,"Austrian-Bohemian"),
("Friedrich","","Kuhlau",1786,1832,"Danish"),
("Carl","Maria","von Weber",1786,1826,"German"),
("Franz","Xaver","Gruber",1787,1863,"Austrian"),
("Maria","Agata","Szymanowska",1789,1831,"Polish"),
("Franz","Xaver Wolfgang","Mozart",1791,1844,"Austrian"),
("Carl","","Czerny",1791,1857,"Czech"),
("Giacomo","","Meyerbeer",1791,1864,"German"),
("Jan","Václav","Voříšek",1791,1825,"Czech"),
("Ferdinand","","Hérold",1791,1833,"French"),
("Gioachino","","Rossini",1792,1868,"Italian"),
("Ignaz","","Moscheles",1794,1870,"Bohemian"),
("Ignaz","","Moscheles",1794,1870,"Czech"),
("Heinrich","","Marschner",1795,1861,"German"),
("Saverio","","Mercadante",1795,1870,"Italian"),
("Giovanni","","Pacini",1796,1867,"Italian"),
("Franz","","Berwald",1796,1868,"Swedish"),
("Carl","","Loewe",1796,1869,"German"),
("Gaetano","","Donizetti",1797,1848,"Italian"),
("Franz","","Schubert",1797,1828,"Austrian"),
("Fromental","","Halévy",1799,1862,"French"),
("Vincenzo","","Bellini",1801,1835,"Italian"),
("Amédée","","Méreaux",1802,1874,"French"),
("Adolphe","","Adam",1803,1856,"French"),
("Hector","","Berlioz",1803,1869,"French"),
("Franz","","Lachner",1803,1890,"German"),
("Mikhail","","Glinka",1804,1857,"Russian"),
("Johann","","Strauss",1804,1849,"Austrian"),
("Fanny","","Mendelssohn",1805,1847,"German"),
("Johann","Friedrich Franz","Burgmüller",1806,1874,"German"),
("Felix","","Mendelssohn",1809,1847,"German"),
("Frédéric","","Chopin",1810,1849,"Polish-French"),
("Robert","","Schumann",1810,1856,"German"),
("Ferdinand","","David",1810,1873,"German"),
("Franz","","Liszt",1811,1886,"Hungarian"),
("Ferdinand","","Hiller",1811,1885,"German"),
("Sigismond","","Thalberg",1812,1871,"Austrian"),
("Richard","","Wagner",1813,1883,"German"),
("Giuseppe","","Verdi",1813,1901,"Italian"),
("Charles-Valentin","","Alkan",1813,1888,"French"),
("Ferdinand","","Praeger",1815,1891,"German"),
("Robert","","Volkmann",1815,1883,"German"),
("William","Sterndale","Bennett",1816,1875,"English"),
("Émile","","Prudent",1817,1863,"French"),
("Clara","","Schumann",1819,1896,"German"),
("Franz","","von Suppé",1819,1895,"Austrian"),
("Stanisław","","Moniuszko",1819,1872,"Polish"),
("Joachim","","Raff",1822,1882,"Swiss-born German"),
("César","","Franck",1822,1890,"Belgian-born French"),
("Anton","","Bruckner",1824,1896,"Austrian"),
("Bedřich","","Smetana",1824,1884,"Czech"),
("Johann","","Strauss",1825,1899,"Austrian"),
("Richard","","Hol",1825,1904,"Dutch"),
("Josef","","Strauss",1827,1870,"Austrian"),
("Anton","","Rubinstein",1829,1894,"Russian"),
("Joseph","","Joachim",1831,1907,"Hungarian"),
("Johannes","","Brahms",1833,1897,"German"),
("Eduard","","Strauss",1835,1916,"Austrian"),
("Felix","","Draeseke",1835,1913,"German"),
("Camille","","Saint-Saëns",1835,1921,"French"),
("Max","","Bruch",1838,1920,"German"),
("Modest","","Mussorgsky",1839,1881,"Russian"),
("Pyotr","Ilyich","Tchaikovsky",1840,1893,"Russian"),
("Antonín","","Dvořák",1841,1904,"Czech"),
("Edvard","","Grieg",1843,1907,"Norwegian"),
("David","","Popper",1843,1913,"Czech"),
("Nikolai","","Rimsky-Korsakov",1844,1908,"Russian"),
("Gabriel","","Fauré",1845,1924,"French"),
("Robert","","Fuchs",1847,1927,"Austrian"),
("Moritz","","Moszkowski",1854,1925,"German"),
("Arnold","","Mendelssohn",1855,1933,"German"),
("Edward","","Elgar",1857,1934,"English"),
("Gustav","","Mahler",1860,1911,"Austrian"),
("Hugo","","Wolf",1860,1903,"Austrian"),
("Ignacy","Jan","Paderewski",1860,1941,"Polish"),
("Isaac","","Albéniz",1860,1909,"Spanish"),
("Edward","","MacDowell",1860,1908,"American"),
("Richard","","Strauss",1864,1949,"German"),
("Jean","","Sibelius",1865,1957,"Finnish"),
("Johann","","Strauss",1866,1939,"Austrian"),
("Ferruccio","","Busoni",1866,1924,"Italian"),
("Scott","","Joplin",1868,1917,"American"),
("Siegfried","","Wagner",1869,1930,"German"),
("Franz","","Lehár",1870,1948,"Hungarian"),
("Ludvík","","Čelanský",1870,1931,"Czech"),
("Vítězslav","","Novák",1870,1949,"Czech"),
("Charles","","Tournemire",1870,1939,"French"),
("Louis","","Vierne",1870,1937,"French"),
("Alexander","","Scriabin",1872,1915,"Russian"),
("Ralph","Vaughan","Williams",1872,1958,"English"),
("Sergei","","Rachmaninoff",1873,1943,"Russian"),
("Franz","","Schmidt",1874,1939,"Austrian"),
("Gustav","","Holst",1874,1934,"English"),
("Serge","","Koussevitzky",1874,1951,"Russian"),
("František","","Neumann",1874,1929,"Czech"),
("Arnold","","Schoenberg",1874,1951,"Austrian"),
("Josef","","Suk",1874,1935,"Czech"),
("Richard","","Wetz",1875,1935,"German"),
("Maurice","","Ravel",1875,1937,"French"),
("Franz","","Schreker",1878,1934,"Austrian"),
("Alma","","Mahler",1879,1964,"Austrian"),
("Ottorino","","Respighi",1879,1936,"Italian"),
("Béla","","Bartók",1881,1945,"Hungarian"),
("George","","Enescu",1881,1955,"Romanian"),
("Zoltán","","Kodály",1882,1967,"Hungarian"),
("Igor","","Stravinsky",1882,1971,"Russian"),
("Ladislav","","Vycpálek",1882,1969,"Czech"),
("Edgard","","Varèse",1883,1965,"French"),
("Alexander","","Albrecht",1885,1958,"Slovak"),
("Marcel","","Dupré",1886,1971,"French"),
("Egon","","Ledeč",1889,1944,"Czech"),
("Vilém","","Petrželka",1889,1969,"Czech"),
("Karel","Boleslav","Jirák",1891,1972,"Czechoslovak"),
("Sergei","","Prokofiev",1891,1953,"Russian"),
("Darius","","Milhaud",1892,1974,"French"),
("John","Jacob","Niles",1892,1980,"American"),
("Paul","","Hindemith",1895,1963,"German"),
("Aaron","","Copland",1900,1990,"American"),
("Jaroslav","","Ježek",1906,1942,"Czech"),
("Dmitri","","Shostakovich",1906,1975,"Russian"),
("Olivier","","Messiaen",1908,1992,"French"),
("Samuel","","Barber",1910,1981,"American"),
("John","","Cage",1912,1992,"American"),
("Benjamin","","Britten",1913,1976,"English"),
("Leonard","","Bernstein",1918,1990,"American")