work_id,instrument_name
1,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,,trumpet,trumpet,trombone,trombone,trombone,timpani,strings"
2,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,,trumpet,trumpet,trombone,trombone,trombone,timpani,strings"
3,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,,trumpet,trumpet,trombone,trombone,trombone,timpani,strings"
4,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,,trumpet,trumpet,trombone,trombone,trombone,timpani,strings"
5,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,strings"
6,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,strings"
7,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,strings"
8,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,strings"
9,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,triangle,harp,strings"
10,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,triangle,harp,strings"
11,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,triangle,harp,strings"
12,"flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,triangle,strings"
13,"flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,triangle,strings"
14,"flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,triangle,strings"
15,"flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,triangle,strings"
16,"flute,flute,oboe,oboe,clarinet,clarinet,bass clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,triangle,strings"
17,"flute,flute,oboe,oboe,clarinet,clarinet,bass clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,triangle,strings"
18,"flute,flute,oboe,oboe,clarinet,clarinet,bass clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,triangle,strings"
19,"flute,flute,oboe,oboe,clarinet,clarinet,bass clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,triangle,strings"
20,piano
21,piano
22,piano
23,piano
24,piano
25,piano
26,piano
27,piano
28,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum,cymbals,triangle,strings"
29,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum,cymbals,triangle,strings"
30,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum,cymbals,triangle,strings"
31,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum,cymbals,triangle,strings"
32,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum,cymbals,triangle,strings"
33,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum,cymbals,triangle,strings"
34,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum,cymbals,triangle,strings"
35,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum,cymbals,triangle,strings"
36,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
37,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
38,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
39,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
40,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,,trombone,trombone,timpani,strings"
41,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,,trombone,trombone,timpani,strings"
42,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,,trombone,trombone,timpani,strings"
43,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,,trombone,trombone,timpani,strings"
44,piano
45,piano
46,piano
47,piano
48,piano
49,piano
50,piano
51,piano
52,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
53,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
54,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
55,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
56,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
57,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
58,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
59,"piccolo,flute,flute,oboe,oboe,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,timpani,bass drum, cymbals,triangle,glockenspiel,strings"
60,"piccolo,flute,flute,oboe,oboe,English horn, clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
61,"piccolo,flute,flute,oboe,oboe,English horn, clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
62,"piccolo,flute,flute,oboe,oboe,English horn, clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
63,"piccolo,flute,flute,oboe,oboe,English horn, clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,strings"
64,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,cymbals,triangle,strings"
65,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,cymbals,triangle,strings"
66,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,cymbals,triangle,strings"
67,"piccolo,flute,flute,oboe,oboe,English horn,clarinet,clarinet,bassoon,bassoon,horn,horn,horn,horn,trumpet,trumpet,trombone,trombone,trombone,tuba,timpani,cymbals,triangle,strings"
68,piano
69,piano
70,piano
71,piano
72,piano
73,piano
74,piano
75,piano
76,piano
77,piano
78,piano
79,piano
80,piano
81,piano
82,piano
83,piano
84,piano
85,piano
86,piano
87,piano
88,piano
89,"trumpet,flute,oboe,violin,viola,cello"
90,"flute,oboe,violin,cello"
91,"trumpet,flute,oboe,violin,viola,cello"
