work_id,work_title,work_alttitle,work_opus,work_identifier,work_mvtitle,work_mvnum,work_yearbegun,work_yearcompleted,work_yearpublished,work_yearpremiered,work_genre,work_form,work_measures,work_relatedto,work_note,work_wiki,work_imslp,work_viaf,era_id,comp_id,key_id,time_id,tempo_id
,Hungarian Dances,Ungarische Tänze,WoO 1,,No. 1 in G minor. Allegro molto,1,1858,1868,1869,1874,Piano,,,,Part of Book 1.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,G minor,2/4,Allegro molto
,Hungarian Dances,Ungarische Tänze,WoO 1,,No. 2 in D minor. Allegro non assai – Vivace,1,1858,1868,1869,1874,Piano,,,,Part of Book 1.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,D minor,2/4,Allegro non assai
,Hungarian Dances,Ungarische Tänze,WoO 1,,No. 3 in F major. Allegretto,1,1858,1868,1869,1874,Piano,,,,Part of Book 1.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,F major,2/4,Allegretto
,Hungarian Dances,Ungarische Tänze,WoO 1,,No. 4 in F minor. 	Poco sostenuto – Vivace,1,1858,1868,1869,1874,Piano,,,,Part of Book 1.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,F minor,2/4,Poco sostenuto
,Hungarian Dances,Ungarische Tänze,WoO 1,,No. 5 in F♯ minor. Allegro – Vivace,1,1858,1868,1869,1874,Piano,,,,Part of Book 1.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,F# minor,2/4,Allegro
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 6 in D♭ major. Vivace
",1,1858,1868,1869,1874,Piano,,,,Part of Book 2.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,Db major,2/4,Vivace
,Hungarian Dances,Ungarische Tänze,WoO 1,,No. 7 in F major. Allegretto – Vivo,1,1858,1868,1869,1874,Piano,,,,Part of Book 2.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,F major,2/4,Allegretto
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 8 in A minor. Presto
",1,1858,1868,1869,1874,Piano,,,,Part of Book 2.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,A minor,2/4,Presto
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 9 in E minor. Allegro ma non troppo
",1,1858,1868,1869,1874,Piano,,,,Part of Book 2.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,E minor,2/4,Allegro non troppo
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 10 in E major. Presto
",1,1858,1868,1869,1874,Piano,,,,Part of Book 2.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,E major,2/4,Presto
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 11 in D minor. Poco andante
",1,1879,1879,1880,,Piano,,,,Part of Book 3.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,D minor,2/4,Poco andante
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 12 in D minor. Presto
",1,1879,1879,1880,,Piano,,,,Part of Book 3.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,D minor,2/4,Presto
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 13 in D major. Andantino grazioso – Vivace
",1,1879,1879,1880,,Piano,,,,Part of Book 3.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,D major,2/4,Andantino grazioso
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 14 in D minor. Un poco andante
",1,1879,1879,1880,,Piano,,,,Part of Book 3.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,D minor,2/4,Un poco andante
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 15 in B♭ major. Allegretto grazioso
",1,1879,1879,1880,,Piano,,,,Part of Book 3.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,Bb major,2/4,Allegretto grazioso
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 16 in F minor. Con moto – F major. Presto
",1,1879,1879,1880,,Piano,,,,Part of Book 3.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,F minor,2/4,Con moto
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 17 in F♯ minor. Andantino – Vivace
",1,1879,1879,1880,,Piano,,,,Part of Book 4.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,F# minor,2/4,Andantino
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 18 in D major. Molto vivace
",1,1879,1879,1880,,Piano,,,,Part of Book 4.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,D major,2/4,Molto vivace
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 19 in B minor. Allegretto
",1,1879,1879,1880,,Piano,,,,Part of Book 4.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,B minor,2/4,Allegretto
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 20 	in E minor. Poco allegretto – Vivace
",1,1879,1879,1880,,Piano,,,,Part of Book 4.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,E minor,2/4,Poco allegretto
,Hungarian Dances,Ungarische Tänze,WoO 1,,"No. 21 in E minor. Vivace – E major. Più presto
",1,1879,1879,1880,,Piano,,,,Part of Book 4.,https://en.wikipedia.org/wiki/Hungarian_Dances_(Brahms),"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)",,10,Brahms,E minor,2/4,Vivace